"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"

AL,Autauga County,34.3,5.8
AL,Baldwin County,28.7,6.32
AL,Barbour County,34.9,9.92
AL,Bibb County,41.8,7.42
AL,Blount County,32.9,5.94
AL,Bullock County,34.1,8.7
AL,Butler County,39.9,9.04
AL,Calhoun County,32.1,7.86
AL,Chambers County,39.4,7.22
AL,Cherokee County,36.0,6.3
AL,Chilton County,41.3,6.32
AL,Choctaw County,37.3,9.2
AL,Clarke County,45.1,12.78
AL,Clay County,34.6,7.36
AL,Cleburne County,38.0,6.9
AL,Coffee County,29.3,6.48
AL,Colbert County,34.8,8.06
AL,Conecuh County,46.2,10.06
AL,Coosa County,36.3,8.08
AL,Covington County,34.4,7.62
AL,Crenshaw County,38.5,6.96
AL,Cullman County,35.1,6.1
AL,Dale County,33.1,6.74
AL,Dallas County,36.5,11.1
AL,DeKalb County,34.3,7.12
AL,Elmore County,35.4,5.72
AL,Escambia County,43.4,7.9
AL,Etowah County,32.5,6.94
AL,Fayette County,39.0,7.68
AL,Franklin County,36.7,7.2
AL,Geneva County,36.0,6.62
AL,Greene County,41.0,11.98
AL,Hale County,42.8,9.74
AL,Henry County,36.1,7.4
AL,Houston County,32.1,6.6
AL,Jackson County,41.1,7.42
AL,Jefferson County,26.5,6.42
AL,Lamar County,35.4,6.62
AL,Lauderdale County,34.6,7.08
AL,Lawrence County,39.9,8.08
AL,Lee County,24.5,5.7
AL,Limestone County,32.0,6.12
AL,Lowndes County,37.7,12.98
AL,Macon County,31.2,9.0
AL,Madison County,20.9,6.1
AL,Marengo County,40.2,8.46
AL,Marion County,35.0,7.66
AL,Marshall County,31.9,6.52
AL,Mobile County,32.6,7.8
AL,Monroe County,45.1,10.92
AL,Montgomery County,25.4,6.8
AL,Morgan County,30.1,6.56
AL,Perry County,39.5,11.84
AL,Pickens County,39.9,8.32
AL,Pike County,32.7,7.3
AL,Randolph County,36.4,7.06
AL,Russell County,31.2,6.82
AL,St. Clair County,36.1,5.8
AL,Shelby County,21.0,4.48
AL,Sumter County,41.6,8.74
AL,Talladega County,35.7,7.88
AL,Tallapoosa County,35.3,7.16
AL,Tuscaloosa County,30.3,6.0
AL,Walker County,36.6,8.02
AL,Washington County,45.8,10.0
AL,Wilcox County,44.9,17.1
AL,Winston County,34.3,8.62
AK,Aleutians East Borough,42.0,5.18
AK,Aleutians West Census Area,40.3,5.28
AK,Anchorage Municipality,24.0,15.2
AK,Bethel Census Area,45.4,8.52
AK,Bristol Bay Borough,34.8,10.94
AK,Denali Borough,23.4,9.96
AK,Dillingham Census Area,36.9,5.94
AK,Fairbanks North Star Borough,22.2,10.24
AK,Haines Borough,25.7,14.22
AK,Juneau City and Borough,21.2,8.22
AK,Kenai Peninsula Borough,32.2,7.48
AK,Ketchikan Gateway Borough,31.7,5.76
AK,Kodiak Island Borough,27.3,22.86
AK,Kusilvak Census Area,52.2,14.52
AK,Lake and Peninsula Borough,42.5,12.22
AK,Matanuska-Susitna Borough,31.8,6.78
AK,Nome Census Area,43.1,16.24
AK,North Slope Borough,37.8,8.88
AK,Northwest Arctic Borough,45.0,12.84
AK,Prince of Wales-Outer Ketchikan Census Area,,12.36
AK,Skagway-Hoonah-Angoon Census Area,,8.04
AK,Valdez-Cordova Census Area,27.3,18.14
AK,Wrangell-Petersburg Census Area,,15.5
AK,Yakutat City and Borough,40.8,7.96
AK,Yukon-Koyukuk Census Area,39.9,7.36
AZ,Apache County,33.5,7.46
AZ,Cochise County,23.2,7.24
AZ,Coconino County,21.6,7.48
AZ,Gila County,28.7,5.86
AZ,Graham County,32.9,8.92
